Team Name,Team Number,tb1,tb2,autoYellowPointsIndividual,autoPurplePointsIndividual,autoPixelPoints,autoNavPointsIndividual,autoPoints,dcPoints,egDronePointsIndividual,egNavPointsIndividual,egPoints,totalPointsNp
SaMoTech,21936,59,47,12.0,17.333333333333332,5.933333333333333,3.6666666666666665,38.93333333333333,44.0,7.333333333333333,16.333333333333332,23.666666666666664,73.6
BeachBots,18253,47.8,45,13.333333333333334,18.666666666666668,4.133333333333333,5.0,41.13333333333333,55.53333333333333,8.0,12.666666666666666,20.666666666666664,75.68333333333334
Blueprints,7767,62.6,59,11.333333333333334,18.0,4.2,5.0,38.53333333333334,31.53333333333333,8.0,15.0,23.0,69.41666666666667
RoboKnights,4348,40.8,50,9.333333333333334,14.666666666666666,5.133333333333334,4.666666666666667,33.800000000000004,40.0,8.666666666666666,11.666666666666666,20.333333333333332,64.13333333333334
Beyond Robotics,21380,57.8,68,13.333333333333334,17.333333333333332,5.666666666666667,4.666666666666667,40.99999999999999,51.0,19.333333333333332,16.666666666666668,36.0,89.75
Inkineers,24433,44,55,4.0,18.666666666666668,5.533333333333334,5.0,33.2,43.6,6.0,10.0,16.0,60.1
Tekriot,16234,34,36,0.0,10.666666666666666,0.6666666666666666,1.3333333333333333,12.666666666666666,9.4,6.0,7.666666666666667,13.666666666666668,28.683333333333337
CyberDragons Buttercup,9887,45.2,41,8.0,13.333333333333334,5.333333333333333,4.666666666666667,31.333333333333336,40.26666666666667,7.333333333333333,16.0,23.333333333333332,64.73333333333333
Stratus,24079,38.6,42,5.333333333333333,12.0,2.266666666666667,4.333333333333333,23.93333333333333,21.399999999999995,8.0,13.333333333333334,21.333333333333336,50.61666666666667
Omega Squad,14996,55.6,70,9.333333333333334,20.0,4.066666666666666,4.666666666666667,38.06666666666666,37.199999999999996,8.666666666666666,20.0,28.666666666666664,76.03333333333332
Junior Knights,21325,43.6,30,10.0,10.666666666666666,6.599999999999999,4.666666666666667,31.93333333333333,27.599999999999998,4.666666666666667,17.333333333333332,22.0,60.83333333333333
aztec.exe,15091,77.8,59,10.666666666666666,20.0,5.866666666666667,4.666666666666667,41.199999999999996,31.26666666666667,10.0,18.0,28.0,77.01666666666665
